number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_size,params_l2,params_learning_rate,params_loss_alpha,params_loss_gamma,params_n_hidden_layers,user_attrs_n_epochs,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
480,0.4564584791660309,2023-07-10 11:21:58.436002,2023-07-10 11:22:05.044370,0 days 00:00:06.608368,0.031038594847286348,3,0.00033914958551908717,0.014558947348144889,0.38069330944390267,0.9763123541907568,3,,0.43545395135879517,0.44659844040870667,0.4564584791660309,,PRUNED
342,0.4553753435611725,2023-07-10 11:01:27.612445,2023-07-10 11:01:33.827456,0 days 00:00:06.215011,0.01267375825523154,4,0.00021067312964593356,0.0281715645970592,0.4467644553773972,1.094135427505183,3,,0.43637561798095703,0.4456409811973572,0.4553753435611725,,PRUNED
206,0.4550245404243469,2023-07-10 10:36:30.541612,2023-07-10 10:36:46.288800,0 days 00:00:15.747188,0.03647096007131638,4,5.80203395351663e-06,0.028674052897947333,0.36583680938465307,3.2211348186067763,3,,0.4579654335975647,0.4550245404243469,,,PRUNED
366,0.454330176115036,2023-07-10 11:05:54.263985,2023-07-10 11:06:00.084924,0 days 00:00:05.820939,0.08097234830065625,4,0.00017891616595711867,0.025946384325590478,0.47103858819958067,0.06924697017150004,3,,0.44636857509613037,0.45676708221435547,0.454330176115036,,PRUNED
259,0.4535389542579651,2023-07-10 10:48:20.163900,2023-07-10 10:48:26.078937,0 days 00:00:05.915037,0.009144402934329266,5,0.00021590858998848383,0.018520907619003817,0.42929640536952085,2.302304312475285,3,,0.44656312465667725,0.4535389542579651,,,PRUNED
411,0.45342525839805603,2023-07-10 11:12:57.725337,2023-07-10 11:13:04.198837,0 days 00:00:06.473500,0.05311214134347822,4,0.00018704835021433452,0.018771722829733932,0.4596481600520395,0.9539690696861651,3,,0.4432569146156311,0.4551137685775757,0.45342525839805603,,PRUNED
439,0.45322486758232117,2023-07-10 11:14:55.502279,2023-07-10 11:15:02.024446,0 days 00:00:06.522167,0.028691844569717462,4,0.0004461750808807364,0.02546560854864087,0.45938532127434417,0.8853224060582162,3,,0.44266197085380554,0.45322486758232117,,,PRUNED
371,0.45297813415527344,2023-07-10 11:07:10.155796,2023-07-10 11:07:51.176352,0 days 00:00:41.020556,0.023996920153879893,3,0.0003182875865319476,0.016708570971236986,0.49216486695797057,0.14083487626377542,3,17.0,0.4446796476840973,0.451539009809494,0.45572274923324585,,COMPLETE
389,0.4528757333755493,2023-07-10 11:10:16.809886,2023-07-10 11:10:22.978436,0 days 00:00:06.168550,0.05098505794234659,3,0.0004943803340914826,0.016934692425425318,0.49487327874874426,0.10576197923824648,3,,0.4395933747291565,0.4528757333755493,,,PRUNED
355,0.45242202281951904,2023-07-10 11:04:15.384603,2023-07-10 11:04:21.762558,0 days 00:00:06.377955,0.03136191620446399,4,0.0002090986664127603,0.0175722389468337,0.4604450680313397,0.7578876007516289,3,,0.4397640526294708,0.4602733552455902,0.45242202281951904,,PRUNED
354,0.4521888792514801,2023-07-10 11:03:27.924633,2023-07-10 11:04:15.384603,0 days 00:00:47.459970,0.029554334611752428,4,0.00018631454163670479,0.018763981247503635,0.4574682060671859,0.010321144146632377,3,12.0,0.4463857412338257,0.44677624106407166,0.45768117904663086,,COMPLETE
459,0.45192861557006836,2023-07-10 11:19:20.349959,2023-07-10 11:19:36.484743,0 days 00:00:16.134784,0.08836970892438892,3,0.00035422544156213956,0.019014979038023856,0.3822820490552168,0.1551709674856685,3,,0.44967272877693176,0.45192861557006836,,,PRUNED
445,0.45192161202430725,2023-07-10 11:16:04.455303,2023-07-10 11:16:57.933607,0 days 00:00:53.478304,0.015413399913548075,3,0.0003218950160761099,0.012818856214348842,0.39483955711871127,0.5608035642055111,3,22.0,0.4404480457305908,0.45081228017807007,0.45842522382736206,0.4556717872619629,COMPLETE
370,0.45187821984291077,2023-07-10 11:06:35.944816,2023-07-10 11:07:10.155796,0 days 00:00:34.210980,0.017454886130652505,3,0.00020676695549476728,0.017401000711432555,0.4863519054426128,0.012848449480469436,3,10.0,0.4515300989151001,0.45573681592941284,0.45663437247276306,,COMPLETE
375,0.4517304301261902,2023-07-10 11:08:39.345777,2023-07-10 11:08:53.888725,0 days 00:00:14.542948,0.029994171114813423,3,0.0007048532243767035,0.017531801260235687,0.5122650834949491,0.013688406198151436,3,,0.4529511332511902,0.4517304301261902,,,PRUNED
210,0.4514222741127014,2023-07-10 10:36:54.110100,2023-07-10 10:37:00.213567,0 days 00:00:06.103467,0.024766814849375398,4,5.646812931546555e-06,0.03085315729458883,0.42619980964455934,3.4407698309735117,2,,0.43814828991889954,0.4514222741127014,,,PRUNED
181,0.45121946930885315,2023-07-10 10:30:47.999776,2023-07-10 10:31:24.126621,0 days 00:00:36.126845,0.04012427058827634,4,2.2654353846456737e-05,0.026346941676977514,0.462001543653379,2.949338071524363,3,11.0,0.4389788508415222,0.44367894530296326,0.45862483978271484,,COMPLETE
427,0.45120275020599365,2023-07-10 11:13:53.549765,2023-07-10 11:14:09.239901,0 days 00:00:15.690136,0.16108599961275286,4,0.00016634428682604855,0.01923404164218228,0.5364069051430247,0.10358094678993432,3,,0.4530297815799713,0.45120275020599365,,,PRUNED
473,0.45109620690345764,2023-07-10 11:20:55.601925,2023-07-10 11:21:42.803918,0 days 00:00:47.201993,0.10486822353890675,3,0.00016135033752487526,0.014837401377115854,0.4545961676547358,0.9063342482011219,3,21.0,0.45691242814064026,0.45548662543296814,,,COMPLETE
340,0.45103034377098083,2023-07-10 11:00:17.885630,2023-07-10 11:00:55.930924,0 days 00:00:38.045294,0.014327875940013269,4,9.94990989679565e-06,0.026823305757029837,0.44056003546442307,0.19034521306199492,3,10.0,0.45339056849479675,0.4596574306488037,,,COMPLETE
330,0.4510256052017212,2023-07-10 10:59:07.694951,2023-07-10 10:59:13.798308,0 days 00:00:06.103357,0.0010646345054713183,5,0.00017271383629062216,0.028452032299443993,0.5929395753595098,1.8247366046633586,3,,0.4402693510055542,0.4510256052017212,,,PRUNED
169,0.4510180950164795,2023-07-10 10:27:42.385063,2023-07-10 10:28:16.085867,0 days 00:00:33.700804,0.010483948997628771,4,1.9706395901436428e-05,0.025278960215610064,0.5298711262801811,3.1080204982603696,3,12.0,0.43692252039909363,0.45679447054862976,,,COMPLETE
333,0.45098114013671875,2023-07-10 10:59:18.064716,2023-07-10 10:59:50.739878,0 days 00:00:32.675162,0.023435421308547474,6,4.072189820858567e-06,0.020559117728088293,0.49121090040748305,2.459648695297369,3,9.0,0.45798999071121216,,,,COMPLETE
