number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_size,params_l2,params_learning_rate,params_loss_alpha,params_loss_gamma,params_n_hidden_layers,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,system_attrs_completed_rung_4,state
183,0.4639440178871155,2023-04-25 17:14:31.461038,2023-04-25 17:15:48.733053,0 days 00:01:17.272015,0.0010862819237717823,20,0.0005590150599595916,0.0014692394109853497,0.6000000000000001,0.25,4,0.45822036266326904,0.46281325817108154,,,,COMPLETE
154,0.46261006593704224,2023-04-25 17:06:38.271791,2023-04-25 17:07:22.182094,0 days 00:00:43.910303,0.002908582145785565,22,0.0005573791072036107,0.00375734950629199,0.6000000000000001,0.0,4,0.4505982995033264,0.46124523878097534,0.4626278579235077,,,COMPLETE
116,0.4625498652458191,2023-04-25 16:53:10.594130,2023-04-25 16:54:01.378974,0 days 00:00:50.784844,0.0011099121821561662,18,0.0007155230324240356,0.0025263160142167296,0.6000000000000001,0.25,4,0.4345058798789978,0.443655788898468,0.455684095621109,0.45699751377105713,,COMPLETE
294,0.46228742599487305,2023-04-25 17:36:20.313850,2023-04-25 17:37:09.977309,0 days 00:00:49.663459,0.0010375195511080843,24,0.0006361979379664546,0.004209719525701636,0.6000000000000001,0.25,4,0.4375426471233368,0.44923609495162964,0.4587806761264801,0.4621017575263977,,COMPLETE
115,0.46224117279052734,2023-04-25 16:52:29.117276,2023-04-25 16:53:10.593629,0 days 00:00:41.476353,0.0012252632467153464,18,0.0006844995396844587,0.0026441137582081074,0.6000000000000001,0.25,4,0.442470908164978,0.45062583684921265,0.46015340089797974,0.4615516662597656,,COMPLETE
488,0.46204429864883423,2023-04-25 18:02:11.443545,2023-04-25 18:02:43.798834,0 days 00:00:32.355289,0.0028850056632761293,16,0.0005892899671256321,0.0028014513181088933,0.6000000000000001,0.0,4,0.446696937084198,0.45920276641845703,0.461486279964447,,,COMPLETE
196,0.46204420924186707,2023-04-25 17:18:02.796732,2023-04-25 17:18:29.656561,0 days 00:00:26.859829,0.0010056362115631343,12,0.000533528022844393,0.0013245585700281289,0.6000000000000001,0.25,4,0.458435595035553,0.46204420924186707,,,,PRUNED
114,0.4620128273963928,2023-04-25 16:51:24.532212,2023-04-25 16:52:29.116276,0 days 00:01:04.584064,0.001829766520231154,16,0.0006820618904632773,0.003402841315195271,0.6000000000000001,0.0,4,0.4316062927246094,0.4367164671421051,0.44824039936065674,0.4603334665298462,,COMPLETE
392,0.46199047565460205,2023-04-25 17:50:55.374127,2023-04-25 17:51:18.774132,0 days 00:00:23.400005,0.003619598528533739,22,0.0006212713948803923,0.0026203177623282483,0.6000000000000001,0.0,4,0.4504643678665161,0.4599767029285431,,,,COMPLETE
215,0.46196556091308594,2023-04-25 17:22:04.834746,2023-04-25 17:22:29.652051,0 days 00:00:24.817305,0.0014418381674087143,20,0.0005220742690822276,0.003330462767733551,0.6000000000000001,0.0,4,0.45033788681030273,0.4585496783256531,,,,COMPLETE
117,0.4619576334953308,2023-04-25 16:54:01.379475,2023-04-25 16:54:35.842286,0 days 00:00:34.462811,0.0011227159326082765,18,0.0006713329781905044,0.0028107547568666023,0.6000000000000001,0.25,4,0.45975708961486816,0.4623810946941376,,,,COMPLETE
156,0.4618600010871887,2023-04-25 17:07:49.825856,2023-04-25 17:08:23.533127,0 days 00:00:33.707271,0.00449558938516901,26,0.0005486088246737712,0.0036941717251184852,0.7000000000000001,0.0,4,0.4557460844516754,0.4618600010871887,,,,PRUNED
216,0.4618538022041321,2023-04-25 17:22:29.653051,2023-04-25 17:22:54.713366,0 days 00:00:25.060315,0.0013257861352165786,14,0.0005081681140803796,0.0035845514529912843,0.6000000000000001,0.0,4,0.4529404044151306,0.46010151505470276,,,,COMPLETE
474,0.4618338942527771,2023-04-25 18:00:26.695204,2023-04-25 18:01:06.745526,0 days 00:00:40.050322,0.004366455847471933,18,0.0005322005523729989,0.0030199180133965017,0.6000000000000001,0.25,4,0.4504154324531555,0.46134185791015625,0.4611387550830841,,,COMPLETE
384,0.46180710196495056,2023-04-25 17:49:46.145519,2023-04-25 17:50:16.103615,0 days 00:00:29.958096,0.0027235663514915387,18,0.0005305894509875657,0.003610987033814385,0.6000000000000001,0.25,4,0.4500313401222229,0.4613003730773926,,,,COMPLETE
139,0.46171849966049194,2023-04-25 17:02:49.084602,2023-04-25 17:03:14.725997,0 days 00:00:25.641395,0.0028733037913005795,22,0.000543008798255895,0.006054709332545746,0.6000000000000001,0.0,4,0.4369773864746094,0.447834312915802,0.4571785032749176,0.46171849966049194,,COMPLETE
493,0.4616050720214844,2023-04-25 18:03:06.348090,2023-04-25 18:03:45.982225,0 days 00:00:39.634135,0.012348176445506337,30,0.000589813109395164,0.0030854345494033494,0.6000000000000001,0.0,4,0.4422241151332855,0.45551612973213196,0.45829007029533386,0.4617909789085388,,COMPLETE
277,0.4615934491157532,2023-04-25 17:33:22.668987,2023-04-25 17:33:52.390965,0 days 00:00:29.721978,0.009353063210870014,88,0.0005280198519612584,0.0013708907623250846,0.6000000000000001,0.0,4,0.45850062370300293,,,,,COMPLETE
155,0.4615509510040283,2023-04-25 17:07:22.183094,2023-04-25 17:07:49.825357,0 days 00:00:27.642263,0.0029246996831696825,22,0.0005508655785192071,0.0035270484081731026,0.6000000000000001,0.0,4,0.436419814825058,0.4539376497268677,0.4586900472640991,0.4615509510040283,,COMPLETE
120,0.46133336424827576,2023-04-25 16:55:44.631764,2023-04-25 16:56:19.394039,0 days 00:00:34.762275,0.0028753468526447334,14,0.0006873954437043398,0.006016571596573538,0.6000000000000001,0.25,4,0.4360593557357788,0.44845104217529297,0.4544340968132019,0.45975130796432495,,COMPLETE
107,0.4613150954246521,2023-04-25 16:48:33.224856,2023-04-25 16:49:17.179200,0 days 00:00:43.954344,0.01208380751806498,14,0.0009889770699217603,0.0015627593227020456,0.6000000000000001,0.0,4,0.4347345232963562,0.4454231858253479,0.45621541142463684,0.4606924057006836,,COMPLETE
289,0.46127134561538696,2023-04-25 17:35:14.336209,2023-04-25 17:35:44.065733,0 days 00:00:29.729524,0.005030275143030186,70,0.0005719498372416227,0.001751332871541736,0.6000000000000001,0.0,4,0.45252490043640137,0.4608134925365448,0.46127134561538696,,,COMPLETE
285,0.4612364172935486,2023-04-25 17:34:32.399699,2023-04-25 17:35:01.176465,0 days 00:00:28.776766,0.0024558435530316284,16,0.0008615703951298188,0.0022889507930482517,0.6000000000000001,0.0,4,0.4596141576766968,0.4612364172935486,,,,PRUNED
109,0.46121829748153687,2023-04-25 16:49:20.802939,2023-04-25 16:49:53.739812,0 days 00:00:32.936873,0.004245758339474764,14,0.0007757846773976469,0.0027849356229569136,0.6000000000000001,0.0,4,0.4493902921676636,0.4602072834968567,0.45880842208862305,,,COMPLETE
377,0.4612109065055847,2023-04-25 17:48:31.750357,2023-04-25 17:49:02.339066,0 days 00:00:30.588709,0.003272360483862183,20,0.0006985399812112157,0.0023155472738869967,0.6000000000000001,0.0,4,0.4360530376434326,0.45561647415161133,0.46023422479629517,0.46214255690574646,,COMPLETE
152,0.4611969590187073,2023-04-25 17:05:54.682175,2023-04-25 17:06:36.058317,0 days 00:00:41.376142,0.00949007211285842,18,0.0005109502984271463,0.000537581007492029,0.6000000000000001,0.25,4,0.43996381759643555,0.457072913646698,0.46353524923324585,,,COMPLETE
174,0.46118223667144775,2023-04-25 17:13:19.871546,2023-04-25 17:13:48.991011,0 days 00:00:29.119465,0.0027288967936046097,10,0.0006647421700874611,0.0015598416736957912,0.6000000000000001,0.0,4,0.45909085869789124,0.46118223667144775,,,,PRUNED
119,0.461166113615036,2023-04-25 16:55:02.201577,2023-04-25 16:55:44.631265,0 days 00:00:42.429688,0.002688270908959436,14,0.0006815336789453642,0.006209223054936293,0.6000000000000001,0.25,4,0.43976980447769165,0.44209954142570496,0.45731472969055176,0.46152013540267944,,COMPLETE
202,0.46105676889419556,2023-04-25 17:19:16.333734,2023-04-25 17:19:44.008279,0 days 00:00:27.674545,0.009691014164828458,14,0.0006771599143624328,0.0030850566538226367,0.5,0.0,4,0.4526323676109314,0.4608253836631775,,,,COMPLETE
267,0.4610317647457123,2023-04-25 17:31:48.146441,2023-04-25 17:32:14.271456,0 days 00:00:26.125015,0.0029899342613541125,16,0.0005009543835248261,0.003139321873660224,0.6000000000000001,0.5,4,0.4381033182144165,0.45459210872650146,0.4595891237258911,,,COMPLETE
111,0.4609043598175049,2023-04-25 16:50:10.279693,2023-04-25 16:50:49.524031,0 days 00:00:39.244338,0.004268667139096522,14,0.00077214287762597,0.0035153935497523785,0.6000000000000001,0.0,4,0.44026100635528564,0.45921826362609863,0.4606080651283264,,,COMPLETE
158,0.4609041213989258,2023-04-25 17:09:14.297632,2023-04-25 17:09:40.020733,0 days 00:00:25.723101,0.0028998528020561165,22,0.0005734567240496961,0.005299731348590459,0.5,0.0,4,0.45347028970718384,0.46088090538978577,,,,COMPLETE
138,0.4608820080757141,2023-04-25 17:02:22.853977,2023-04-25 17:02:49.084101,0 days 00:00:26.230124,0.0030047268149406953,14,0.0005605424592663587,0.00597746770530147,0.6000000000000001,0.25,4,0.4467150866985321,0.4562339782714844,0.4608820080757141,,,COMPLETE
200,0.46062391996383667,2023-04-25 17:18:50.690179,2023-04-25 17:19:15.206532,0 days 00:00:24.516353,0.008846890542408186,16,0.0005967473444949541,0.0025153153091204234,0.5,0.0,4,0.45464038848876953,0.46029937267303467,,,,COMPLETE
130,0.46059316396713257,2023-04-25 16:59:42.675240,2023-04-25 17:00:01.413767,0 days 00:00:18.738527,0.005815258076550025,10,0.0007873778235821557,0.007586611147377081,0.6000000000000001,0.5,4,0.44649451971054077,0.4575307071208954,,,,COMPLETE
405,0.46048814058303833,2023-04-25 17:52:47.144444,2023-04-25 17:53:10.353144,0 days 00:00:23.208700,0.011061270721137495,26,0.0005449745412932036,0.003113944701160392,0.6000000000000001,0.25,4,0.44985899329185486,0.4589601755142212,,,,COMPLETE
118,0.4604398012161255,2023-04-25 16:54:35.842785,2023-04-25 16:55:02.201077,0 days 00:00:26.358292,0.0013281734301286412,20,0.0006506579392318585,0.002560457345298206,0.6000000000000001,0.25,4,0.4607889652252197,0.4604398012161255,,,,PRUNED
351,0.46035733819007874,2023-04-25 17:44:49.625296,2023-04-25 17:45:16.665507,0 days 00:00:27.040211,0.01585790342395747,20,0.000595986339879989,0.0014103809885111594,0.5,0.25,4,0.4572434723377228,0.46035733819007874,,,,PRUNED
383,0.4603561460971832,2023-04-25 17:49:17.128066,2023-04-25 17:49:46.144478,0 days 00:00:29.016412,0.00959914119231561,16,0.0005954480664168036,0.0015973629093710786,0.6000000000000001,0.0,4,0.4506714344024658,0.4584910273551941,0.4597693681716919,,,COMPLETE
393,0.4602585434913635,2023-04-25 17:51:18.774632,2023-04-25 17:51:48.180808,0 days 00:00:29.406176,0.004216398098412293,26,0.0006340883923985337,0.0027776774545942707,0.6000000000000001,0.0,4,0.4577655792236328,0.4602585434913635,,,,PRUNED
301,0.46024519205093384,2023-04-25 17:37:58.253368,2023-04-25 17:38:22.286909,0 days 00:00:24.033541,0.012154793578990786,30,0.0006159613030407812,0.0016285629617554236,0.6000000000000001,0.25,4,0.4348505139350891,0.4489262104034424,0.4580981135368347,0.46024519205093384,,PRUNED
350,0.46023744344711304,2023-04-25 17:44:22.448959,2023-04-25 17:44:49.624296,0 days 00:00:27.175337,0.009898331511756729,28,0.0005270867747807066,0.002783035748827327,0.6000000000000001,0.0,4,0.4462442100048065,0.45177793502807617,0.45977041125297546,0.46023744344711304,,PRUNED
157,0.4601813554763794,2023-04-25 17:08:23.534125,2023-04-25 17:09:14.296631,0 days 00:00:50.762506,0.004778053910377883,22,0.0005494191592087166,0.004924448212622758,0.5,0.0,4,0.442192941904068,0.4483729600906372,0.45822852849960327,0.46037206053733826,,COMPLETE
494,0.4601651430130005,2023-04-25 18:03:45.982725,2023-04-25 18:04:32.678570,0 days 00:00:46.695845,0.013848449109053773,22,0.000635431888933385,0.0012633470611104836,0.6000000000000001,0.0,4,0.44818922877311707,0.4586256146430969,0.4612155258655548,,,COMPLETE
243,0.46016472578048706,2023-04-25 17:26:45.587300,2023-04-25 17:27:15.177682,0 days 00:00:29.590382,0.0027988326909832457,18,0.0007916781624758132,0.0037279288821666693,0.6000000000000001,0.0,4,0.4585712254047394,0.46016472578048706,,,,PRUNED
105,0.46011853218078613,2023-04-25 16:48:00.293666,2023-04-25 16:48:25.507957,0 days 00:00:25.214291,0.0037011961747751756,10,0.0009474926056529751,0.0014978842317554643,0.7000000000000001,0.0,4,0.45695510506629944,,,,,COMPLETE
276,0.4599863290786743,2023-04-25 17:33:00.456956,2023-04-25 17:33:22.668487,0 days 00:00:22.211531,0.008162007099847018,10,0.0005268320700700688,0.004510297210836001,0.6000000000000001,0.0,4,0.4607056677341461,,,,,COMPLETE
364,0.4599694311618805,2023-04-25 17:46:58.241486,2023-04-25 17:47:27.737939,0 days 00:00:29.496453,0.008826120734582544,62,0.0005454613738800094,0.00158337711050263,0.6000000000000001,0.0,4,0.45886141061782837,,,,,COMPLETE
161,0.45992526412010193,2023-04-25 17:10:03.657973,2023-04-25 17:10:33.846311,0 days 00:00:30.188338,0.005544225859352714,22,0.0005529704037665497,0.004482978628808324,0.5,0.0,4,0.4347913861274719,0.4491616487503052,0.45868200063705444,0.45992526412010193,,PRUNED
162,0.4596761465072632,2023-04-25 17:10:33.846811,2023-04-25 17:10:53.923381,0 days 00:00:20.076570,0.0030303850203002563,20,0.000600745643121921,0.005275434473365935,0.5,0.0,4,0.45937347412109375,,,,,COMPLETE
260,0.45962291955947876,2023-04-25 17:29:53.247754,2023-04-25 17:30:20.251294,0 days 00:00:27.003540,0.003130572400559705,16,0.0007380811609973266,0.0033357371166411014,0.6000000000000001,0.0,4,0.4347643256187439,0.44944262504577637,0.4593047499656677,0.46277672052383423,,COMPLETE
204,0.45961058139801025,2023-04-25 17:19:45.202570,2023-04-25 17:20:15.504337,0 days 00:00:30.301767,0.010900748030625249,14,0.000664495996178681,0.002457062616392643,0.5,0.25,4,0.44865965843200684,0.45893001556396484,0.45961058139801025,,,PRUNED
169,0.4595875144004822,2023-04-25 17:11:54.044866,2023-04-25 17:12:21.386244,0 days 00:00:27.341378,0.006897806787526216,18,0.0005053519996361269,0.004409395774550769,0.6000000000000001,0.0,4,0.4488438367843628,0.4576968252658844,0.4595875144004822,,,PRUNED
113,0.4595700800418854,2023-04-25 16:50:53.375070,2023-04-25 16:51:24.531712,0 days 00:00:31.156642,0.0020206695037478153,18,0.0007195521463185342,0.0024564860781368892,0.6000000000000001,0.0,4,0.4371492266654968,0.4566018581390381,0.460755318403244,0.46161073446273804,,COMPLETE
128,0.45954325795173645,2023-04-25 16:58:48.817898,2023-04-25 16:59:15.102766,0 days 00:00:26.284868,0.008207577047979886,8,0.0005754189530436067,0.007441440952629557,0.6000000000000001,0.25,4,0.4518008828163147,0.45828670263290405,,,,COMPLETE
242,0.4594953656196594,2023-04-25 17:26:12.278476,2023-04-25 17:26:45.586798,0 days 00:00:33.308322,0.0030427997377305274,20,0.0006539619599800781,0.002188794918220182,0.6000000000000001,0.0,4,0.4348219335079193,0.4498107135295868,0.4589754045009613,0.4616967737674713,,COMPLETE
163,0.45945411920547485,2023-04-25 17:10:53.923882,2023-04-25 17:11:19.095292,0 days 00:00:25.171410,0.005179102813189031,22,0.0005582954791883962,0.003585936158950951,0.6000000000000001,0.25,4,0.44171732664108276,0.4514772593975067,0.4601854383945465,,,COMPLETE
188,0.45938777923583984,2023-04-25 17:16:00.122053,2023-04-25 17:16:50.608285,0 days 00:00:50.486232,0.0011531807355848976,18,0.0006902531493630376,0.003370727781598904,0.6000000000000001,0.25,4,0.4347473084926605,0.45536893606185913,0.4591468274593353,0.46098825335502625,,COMPLETE
173,0.45927873253822327,2023-04-25 17:12:36.464126,2023-04-25 17:13:19.870547,0 days 00:00:43.406421,0.004995775902286558,20,0.0007021867196758523,0.003252948836303104,0.6000000000000001,0.0,4,0.44267651438713074,0.44593894481658936,0.4580554962158203,0.46383655071258545,,COMPLETE
408,0.4592127501964569,2023-04-25 17:53:25.725556,2023-04-25 17:53:55.646111,0 days 00:00:29.920555,0.003192771570566906,18,0.000638847944027971,0.004822033727570932,0.6000000000000001,0.0,4,0.446927011013031,0.4597553014755249,0.4604351818561554,,,COMPLETE
142,0.45920729637145996,2023-04-25 17:03:57.536463,2023-04-25 17:04:15.976451,0 days 00:00:18.439988,0.00651835063426252,18,0.0005129403608616386,0.0027415882758789313,0.6000000000000001,0.25,4,0.44057345390319824,0.4503725469112396,0.46002691984176636,,,COMPLETE
126,0.4591924548149109,2023-04-25 16:57:53.360547,2023-04-25 16:58:28.002322,0 days 00:00:34.641775,0.004322811502599439,12,0.0006826024236400416,0.007744579082731413,0.6000000000000001,0.25,4,0.4562448263168335,0.45767760276794434,0.4599301218986511,,,COMPLETE
191,0.45915472507476807,2023-04-25 17:17:21.797546,2023-04-25 17:17:38.550564,0 days 00:00:16.753018,0.00289790612457207,20,0.000597817971029272,0.004840422810280378,0.5,0.0,4,0.4600144028663635,,,,,COMPLETE
166,0.4589061141014099,2023-04-25 17:11:31.045931,2023-04-25 17:11:51.447813,0 days 00:00:20.401882,0.0025435754973025166,12,0.0005361438134186977,0.006376091214948712,0.6000000000000001,0.25,4,0.4451424479484558,0.4486396014690399,0.4570423662662506,,,COMPLETE
265,0.4588468074798584,2023-04-25 17:31:11.137832,2023-04-25 17:31:40.812625,0 days 00:00:29.674793,0.00417039025198053,14,0.0005295684601647324,0.004881820700076891,0.5,0.0,4,0.46211153268814087,,,,,COMPLETE
189,0.45882827043533325,2023-04-25 17:16:50.609289,2023-04-25 17:17:12.042054,0 days 00:00:21.432765,0.004600165272011407,16,0.0005253513873429334,0.002273314225037096,0.6000000000000001,0.0,4,0.44607311487197876,0.4610491394996643,,,,COMPLETE
439,0.4587807059288025,2023-04-25 17:56:44.878294,2023-04-25 17:57:03.356916,0 days 00:00:18.478622,0.00874602806395939,68,0.0005028675520039981,0.0047774405186138775,0.5,0.0,4,0.45044469833374023,0.45986753702163696,,,,COMPLETE
143,0.45870843529701233,2023-04-25 17:04:15.976953,2023-04-25 17:04:45.119094,0 days 00:00:29.142141,0.008982855157588399,16,0.000581257253592209,0.005460180829732017,0.6000000000000001,0.0,4,0.44448530673980713,0.45510226488113403,0.45815473794937134,0.45870843529701233,,PRUNED
110,0.45816248655319214,2023-04-25 16:49:53.740311,2023-04-25 16:50:10.278693,0 days 00:00:16.538382,0.004074141547636529,14,0.0007154969638727771,0.0036537958089923363,0.6000000000000001,0.0,4,0.4542531371116638,0.4568498134613037,,,,COMPLETE
361,0.4580994248390198,2023-04-25 17:46:21.033419,2023-04-25 17:46:53.234744,0 days 00:00:32.201325,0.03204564652610865,22,0.0006119777340264418,0.004017533483283088,0.6000000000000001,0.0,4,0.45975229144096375,0.4580994248390198,,,,PRUNED
252,0.45808714628219604,2023-04-25 17:28:40.458685,2023-04-25 17:29:01.630337,0 days 00:00:21.171652,0.007740659325992975,14,0.0005311196517544685,0.0028969298212510623,0.7000000000000001,0.0,4,0.450987309217453,0.4599073529243469,,,,COMPLETE
141,0.458066463470459,2023-04-25 17:03:43.995241,2023-04-25 17:03:57.535963,0 days 00:00:13.540722,0.001234107856163848,22,0.0006196123862316126,0.0062535763341466525,0.6000000000000001,0.0,4,0.4446442723274231,0.4578578472137451,,,,COMPLETE
297,0.45805850625038147,2023-04-25 17:37:14.842931,2023-04-25 17:37:43.720564,0 days 00:00:28.877633,0.0032012143839767787,18,0.0006956843190468683,0.003975898081377991,0.6000000000000001,0.25,4,0.45792022347450256,0.45805850625038147,,,,PRUNED
140,0.45804864168167114,2023-04-25 17:03:14.726998,2023-04-25 17:03:43.994741,0 days 00:00:29.267743,0.0026315785912615786,14,0.0005368261558169723,0.004367136799974011,0.6000000000000001,0.0,4,0.45741403102874756,0.4569084346294403,0.45804864168167114,,,PRUNED
93,0.45799481868743896,2023-04-25 16:44:01.355561,2023-04-25 16:45:22.065214,0 days 00:01:20.709653,0.0023910215053018213,34,0.0009277407426633246,0.001468663208004547,0.7000000000000001,0.0,4,0.43503934144973755,0.438374400138855,0.4441503882408142,0.4482962489128113,0.459377646446228,COMPLETE
310,0.45796385407447815,2023-04-25 17:39:00.667921,2023-04-25 17:39:31.018150,0 days 00:00:30.350229,0.0030313142713218662,82,0.0005525744293853325,0.00370030177084489,0.6000000000000001,0.0,4,0.4481644630432129,0.45823222398757935,0.45796385407447815,,,PRUNED
423,0.4579239785671234,2023-04-25 17:54:54.430522,2023-04-25 17:55:16.444532,0 days 00:00:22.014010,0.015343977934034808,18,0.0006056053367093024,0.0024229115395606893,0.6000000000000001,0.0,4,0.4368245303630829,0.4506646990776062,0.4612116813659668,,,COMPLETE
358,0.45788174867630005,2023-04-25 17:45:36.460127,2023-04-25 17:46:16.946723,0 days 00:00:40.486596,0.0010361557604026627,16,0.0005003741196167098,0.0028158837340976463,0.6000000000000001,0.0,4,0.4396180510520935,0.4530571401119232,0.45947688817977905,0.46123450994491577,,COMPLETE
444,0.4577649235725403,2023-04-25 17:57:44.428223,2023-04-25 17:58:04.771404,0 days 00:00:20.343181,0.02226551008233043,12,0.0005699522940292957,0.00559811877955717,0.6000000000000001,0.25,4,0.4599192142486572,,,,,COMPLETE
