number,value,datetime_start,datetime_complete,duration,params_dropout,params_hidden_size,params_l2,params_learning_rate,params_n_hidden_layers,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
33,0.9899140000343323,2023-04-25 13:44:21.333653,2023-04-25 13:44:50.770194,0 days 00:00:29.436541,0.006043585572016872,16,0.00022610622162028599,0.004939173981775166,4,1.0091805458068848,1.0127090215682983,0.9983221292495728,1.008837103843689,COMPLETE
98,0.9906135201454163,2023-04-25 13:49:22.550086,2023-04-25 13:49:45.270786,0 days 00:00:22.720700,0.005727121276120127,24,0.0001342859402752399,0.0010586732951617245,4,0.9960944056510925,0.9906474947929382,,,COMPLETE
51,0.9911463856697083,2023-04-25 13:46:25.129070,2023-04-25 13:46:38.232025,0 days 00:00:13.102955,0.004499099317551188,14,0.0002453229641548048,0.006152397434642649,4,1.0063930749893188,1.0144978761672974,0.9940792918205261,,COMPLETE
43,0.9915624856948853,2023-04-25 13:45:47.491774,2023-04-25 13:46:04.214832,0 days 00:00:16.723058,0.005823949067178367,14,0.0005760042423575235,0.003211949824873664,4,1.011004090309143,0.9927560091018677,,,COMPLETE
100,0.9915780425071716,2023-04-25 13:49:47.748313,2023-04-25 13:49:58.935984,0 days 00:00:11.187671,0.005714363456551739,22,0.00016909385685929157,0.0028113837663817183,4,0.997959554195404,0.9928481578826904,,,COMPLETE
183,0.9932237863540649,2023-04-25 13:55:20.851444,2023-04-25 13:55:32.913313,0 days 00:00:12.061869,0.005454294679349228,10,0.00017889192854212194,0.00968617825572329,4,0.9939627647399902,,,,COMPLETE
136,0.9939452409744263,2023-04-25 13:52:01.535636,2023-04-25 13:52:13.967684,0 days 00:00:12.432048,0.006734283072121639,22,0.0007550041736467941,0.006816120342978135,4,0.9997096657752991,0.9902120232582092,,,COMPLETE
178,0.9940023422241211,2023-04-25 13:54:45.892331,2023-04-25 13:55:03.253961,0 days 00:00:17.361630,0.005860762663494583,24,0.00015687200097503782,0.006869357097932853,4,1.0150163173675537,1.008927583694458,0.9930931925773621,,COMPLETE
11,0.9940207600593567,2023-04-25 13:42:17.299057,2023-04-25 13:42:34.221612,0 days 00:00:16.922555,0.006986333205931931,32,0.0003022251936640255,0.0031457032417511605,3,1.0032787322998047,1.003516674041748,,,COMPLETE
224,0.9940949082374573,2023-04-25 13:58:06.814450,2023-04-25 13:58:18.991768,0 days 00:00:12.177318,0.004823856388871429,16,0.0001524135999447815,0.002760881051601174,4,0.9964368939399719,,,,COMPLETE
