number,value,datetime_start,datetime_complete,duration,params_l1_ratio,params_reg_strength,user_attrs_n_epochs,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
455,0.7376491092883595,2023-07-10 14:39:04.597213,2023-07-10 14:39:06.080264,0 days 00:00:01.483051,0.13378873145606526,0.0004028035485817052,,0.7415366701378077,0.7387738426003624,0.7376491092883595,,PRUNED
181,0.7376500416545999,2023-07-10 14:31:38.879672,2023-07-10 14:31:40.219116,0 days 00:00:01.339444,0.13783860496702666,0.0003573801244883395,,0.7376500416545999,,,,PRUNED
139,0.73765288192723,2023-07-10 14:30:01.707474,2023-07-10 14:30:03.033008,0 days 00:00:01.325534,0.1161727445883262,0.00034453044388560645,,0.73765288192723,,,,PRUNED
477,0.7376597014269564,2023-07-10 14:39:38.088919,2023-07-10 14:39:39.385349,0 days 00:00:01.296430,0.07294662410010302,0.00041404313164300423,,0.7389283034522494,0.7376597014269564,,,PRUNED
222,0.7376669753157562,2023-07-10 14:32:54.571167,2023-07-10 14:32:55.914094,0 days 00:00:01.342927,0.11708030234360253,0.00036721954573525084,,0.7388801268892555,0.7376669753157562,,,PRUNED
292,0.7376686305321589,2023-07-10 14:35:01.853084,2023-07-10 14:35:03.173209,0 days 00:00:01.320125,0.1754541154950151,0.0003910489085305938,,0.739293519415109,0.7376686305321589,,,PRUNED
221,0.7376696842002395,2023-07-10 14:32:53.233962,2023-07-10 14:32:54.571167,0 days 00:00:01.337205,0.09706742895210296,0.00039184329724849975,,0.7376696842002395,,,,PRUNED
124,0.7376771136430187,2023-07-10 14:29:32.442873,2023-07-10 14:29:33.706104,0 days 00:00:01.263231,0.1422630718175573,0.00023736368955786224,,0.7376771136430187,,,,PRUNED
111,0.737686698076669,2023-07-10 14:29:08.829066,2023-07-10 14:29:10.197864,0 days 00:00:01.368798,0.033123492160869156,0.000411870417790118,,0.7420048404889028,0.7387222729916849,0.737686698076669,,PRUNED
393,0.737690951295544,2023-07-10 14:37:36.526757,2023-07-10 14:37:37.797639,0 days 00:00:01.270882,0.17297752994285934,0.000360526845758484,,0.737690951295544,,,,PRUNED
368,0.7376914250908909,2023-07-10 14:37:05.712426,2023-07-10 14:37:07.033560,0 days 00:00:01.321134,0.11165374407735465,0.0003150720274652713,,0.7391887901758348,0.7376914250908909,,,PRUNED
238,0.7377050575240918,2023-07-10 14:33:25.895514,2023-07-10 14:33:27.232186,0 days 00:00:01.336672,0.26414948413249534,0.0003494574102861055,,0.7391690842120775,0.7377050575240918,,,PRUNED
71,0.7377052998227278,2023-07-10 14:27:57.012976,2023-07-10 14:27:58.342707,0 days 00:00:01.329731,0.04936931761545412,0.0004016420374778976,,0.7413536654319665,0.738987742751062,0.7377052998227278,,PRUNED
203,0.7377088272380558,2023-07-10 14:32:24.030397,2023-07-10 14:32:25.341031,0 days 00:00:01.310634,0.15399089810691693,0.0004480835701472468,,0.7412298640857332,0.738772316640557,0.7377088272380558,,PRUNED
134,0.7377107690975335,2023-07-10 14:29:51.637950,2023-07-10 14:29:53.000751,0 days 00:00:01.362801,0.16453812701612658,0.0002594626978747622,,0.7377107690975335,,,,PRUNED
