number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_l1_reg,params_l2_reg,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,user_attrs_n_rounds,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
482,0.5665640953645811,2023-07-10 14:53:42.307668,2023-07-10 14:53:46.155453,0 days 00:00:03.847785,0.4026891126660094,0.0028799021447484144,0.01341731295242262,1.6293960133204615,0.22905025541421636,5,6,0.9744970352283204,22.0,0.6181887063377302,0.5709397656945937,0.5677926779044379,,COMPLETE
360,0.5666707809649576,2023-07-10 14:50:58.973269,2023-07-10 14:51:02.881311,0 days 00:00:03.908042,0.39183706050845524,7.278704180711115e-05,0.3348170755048967,1.51266915277767,0.21046426572721708,5,6,0.915610962682268,22.0,0.5739460806712556,0.5677172262206693,,,COMPLETE
234,0.5667568398903464,2023-07-10 14:47:55.039832,2023-07-10 14:47:59.029536,0 days 00:00:03.989704,0.404598079558313,0.018789552754994235,0.0008265393155491369,0.7105476899296385,0.2031430094818322,5,17,0.9769959382411814,22.0,0.5674318255624008,,,,COMPLETE
233,0.5669423764163923,2023-07-10 14:47:51.068338,2023-07-10 14:47:55.038832,0 days 00:00:03.970494,0.3896465151912562,0.013546178592354331,0.0007825474792980726,0.6766891914354297,0.20452434252741067,5,17,0.9551319506877846,22.0,0.5668846774489866,,,,COMPLETE
266,0.5674655290293847,2023-07-10 14:48:46.775243,2023-07-10 14:48:50.787114,0 days 00:00:04.011871,0.4393207941326507,0.021371588371766656,0.0029631154338814808,0.8733519551197799,0.22227614291626965,4,17,0.9569042477730388,20.0,0.5709130692380611,,,,COMPLETE
138,0.5676853001479855,2023-07-10 14:44:57.723742,2023-07-10 14:45:01.615500,0 days 00:00:03.891758,0.40289929533679636,0.010717262123534821,0.004027143774983605,0.3523491565730509,0.211290119369633,4,10,0.7243120947794724,22.0,0.5691850644944649,,,,COMPLETE
306,0.5677379190077901,2023-07-10 14:49:44.954332,2023-07-10 14:49:49.182454,0 days 00:00:04.228122,0.37488232212436906,0.025300844614548627,0.0007085690879762095,0.7144475642812632,0.20131064749651575,5,20,0.9768354051165906,20.0,0.5757855771271673,0.5700483543231385,,,COMPLETE
256,0.5677544298855272,2023-07-10 14:48:26.507022,2023-07-10 14:48:30.639733,0 days 00:00:04.132711,0.4230135098255135,0.015865907670708723,0.0006805490564707476,0.44365972582626695,0.1926428098910206,5,17,0.9464591051952295,20.0,0.5690280549994354,,,,COMPLETE
332,0.5683052859693065,2023-07-10 14:50:21.475169,2023-07-10 14:50:25.263808,0 days 00:00:03.788639,0.39546514469697697,0.009224490143921267,0.0005515545390863664,1.1398025821931916,0.1752163351606296,5,19,0.9529285808769105,22.0,0.5794365899522249,0.5673072763985609,,,COMPLETE
167,0.5684744098072819,2023-07-10 14:45:43.282972,2023-07-10 14:45:47.249761,0 days 00:00:03.966789,0.3238091475423449,0.009976109403967074,0.000909216475428851,0.4779653865130175,0.17925682482081912,6,6,0.9323467468504927,22.0,0.5696347383943752,,,,COMPLETE
432,0.5684769890980674,2023-07-10 14:52:35.683895,2023-07-10 14:52:39.633490,0 days 00:00:03.949595,0.3841190398490377,0.00016973677345666834,0.10982290259761986,0.7577230528181087,0.20522620063705033,4,15,0.7745692384265964,20.0,0.5689540086986989,,,,COMPLETE
227,0.5685814019714531,2023-07-10 14:47:38.103275,2023-07-10 14:47:42.396379,0 days 00:00:04.293104,0.3772412734575563,0.022952501094526415,0.0009022242578268115,0.7018227677870453,0.21245420521127145,4,19,0.9310410776172825,20.0,0.5779514774552624,0.5687761092663499,,,COMPLETE
490,0.5686728201849788,2023-07-10 14:53:54.035691,2023-07-10 14:53:57.868616,0 days 00:00:03.832925,0.38752987389319676,0.0035567507938742875,0.017304978408378947,1.5361945663645376,0.22966121457862065,6,7,0.9554315182353103,19.0,0.6169008887393741,0.57183103264213,0.5748643921599252,,COMPLETE
476,0.5686829825022778,2023-07-10 14:53:32.886398,2023-07-10 14:53:36.695326,0 days 00:00:03.808928,0.4391785844131898,0.0022431948167647834,0.020953979211190958,0.8490040185743924,0.21761629575929886,4,7,0.8555318211645113,20.0,0.5757433801494255,0.5704505734993534,,,COMPLETE
284,0.5687284094636279,2023-07-10 14:49:10.576899,2023-07-10 14:49:14.744804,0 days 00:00:04.167905,0.3857735426058564,0.017918405900917773,0.002636327584694997,1.1162980032950733,0.1770201156477341,5,9,0.9492582804144216,22.0,0.5784898714771398,0.5673162304330729,,,COMPLETE
261,0.5690168194257611,2023-07-10 14:48:38.198186,2023-07-10 14:48:42.167950,0 days 00:00:03.969764,0.3513564743802737,0.021290133720776767,0.002377295029366227,0.8712330933302856,0.20953774503873493,4,16,0.9520574032785998,20.0,0.5693145340368398,,,,COMPLETE
260,0.5691345548522372,2023-07-10 14:48:34.075947,2023-07-10 14:48:38.197184,0 days 00:00:04.121237,0.35205648297142134,0.018806814181462225,0.0025175142638246633,0.7815296632329816,0.21004318161259683,4,18,0.9676929388165987,20.0,0.5776585609824965,0.5697477489189965,,,COMPLETE
243,0.5694647796428414,2023-07-10 14:48:08.338810,2023-07-10 14:48:12.352229,0 days 00:00:04.013419,0.3541880313528492,0.015554934696284724,0.001615037140835218,0.6231080601297356,0.1997150205077903,4,18,0.9238268760904325,20.0,0.5689889391449476,,,,COMPLETE
466,0.5694772810835845,2023-07-10 14:53:16.451136,2023-07-10 14:53:20.395054,0 days 00:00:03.943918,0.42060317396858277,0.0021023408959400147,0.0036476176149834705,1.4546495549256946,0.17893489102973148,5,16,0.8447917462482766,21.0,0.5787384506185936,0.569064139002162,,,COMPLETE
395,0.5703864894808851,2023-07-10 14:51:48.550250,2023-07-10 14:51:52.391060,0 days 00:00:03.840810,0.29467759874086336,7.822927530005897e-05,0.5153261683499574,1.4962445962591664,0.21810449133842497,4,5,0.8802875656473981,21.0,0.5698983237478412,,,,COMPLETE
477,0.5705033203391329,2023-07-10 14:53:36.696326,2023-07-10 14:53:37.864055,0 days 00:00:01.167729,0.4425149137217179,0.001595134532030705,0.037871200613194766,0.8415448430763426,0.21952672878932217,4,6,0.850902572101572,,0.5705033203391329,,,,PRUNED
148,0.5705644884346179,2023-07-10 14:45:12.690451,2023-07-10 14:45:17.137909,0 days 00:00:04.447458,0.36935750507969584,0.005157219963550664,0.0023493928342914437,1.204741398701922,0.1701228406836479,8,14,0.9112151492409196,20.0,0.5782927147795113,0.573336994509611,,,COMPLETE
350,0.5707169995356065,2023-07-10 14:50:44.618974,2023-07-10 14:50:48.460834,0 days 00:00:03.841860,0.4303736980400079,0.014160648829450548,0.0008545824330645817,0.7649811414517436,0.13742990972543442,5,19,0.9758940286356794,27.0,0.5680225957329716,,,,COMPLETE
469,0.5707721202301647,2023-07-10 14:53:22.561391,2023-07-10 14:53:26.374282,0 days 00:00:03.812891,0.4124310530372503,0.0015790783804702148,0.015251270161168428,0.3011448409538942,0.15892281134775912,4,16,0.8322393090162962,22.0,0.5689599049780242,,,,COMPLETE
438,0.5712161831980808,2023-07-10 14:52:45.030399,2023-07-10 14:52:46.262503,0 days 00:00:01.232104,0.39867495220569577,0.00010971252308989297,0.10274562215441721,0.921397540588603,0.20421952325899873,3,16,0.7906200932127001,,0.5712161831980808,,,,PRUNED
498,0.5712256514597763,2023-07-10 14:54:05.797237,2023-07-10 14:54:07.042094,0 days 00:00:01.244857,0.4175552987561364,0.017493009301695304,0.002170234079602297,1.6288086861319355,0.2173887370747501,4,20,0.7358620844675192,,0.5712256514597763,,,,PRUNED
14,0.5712493390032094,2023-07-10 14:41:58.969737,2023-07-10 14:42:03.374305,0 days 00:00:04.404568,0.3915944833711988,0.005179558667794597,6.280986782978271e-05,0.03456789605784377,0.14325071896156716,8,5,0.9145142311287288,22.0,0.5730247559253193,,,,COMPLETE
315,0.5712809248511186,2023-07-10 14:49:58.462572,2023-07-10 14:50:02.862032,0 days 00:00:04.399460,0.3880827048708954,0.004040963104457309,0.0008838570701207787,1.9407645506034472,0.1474141133388659,5,17,0.8525637338483824,27.0,0.5679488388992261,,,,COMPLETE
368,0.5718990530954825,2023-07-10 14:51:10.706281,2023-07-10 14:51:14.469315,0 days 00:00:03.763034,0.444814371770357,0.0019736483473278238,0.022187473060147154,1.7573790803813079,0.2090779139491196,5,16,0.7893202059234461,18.0,0.5760812015376028,0.5734403227987896,,,COMPLETE
383,0.5723117737412569,2023-07-10 14:51:32.801060,2023-07-10 14:51:36.620830,0 days 00:00:03.819770,0.3144374954399312,0.00015919409315895162,0.12620482340210398,1.6920929150593902,0.1747199669419794,4,12,0.8637067379612707,27.0,0.5701381346425404,,,,COMPLETE
382,0.5723865222571872,2023-07-10 14:51:28.946936,2023-07-10 14:51:32.800060,0 days 00:00:03.853124,0.3210956977724384,0.0022839254195553267,0.10557050161153111,1.2308072954261897,0.1751262273823559,4,13,0.8806835274075034,27.0,0.5698292535934433,,,,COMPLETE
481,0.5725273365061657,2023-07-10 14:53:41.083674,2023-07-10 14:53:42.307167,0 days 00:00:01.223493,0.44305618457176754,0.02204828272818387,0.028991652632602827,1.5348450625521641,0.22033374464294586,3,9,0.8356614968526156,,0.5725273365061657,,,,PRUNED
413,0.5727482566855532,2023-07-10 14:52:11.629237,2023-07-10 14:52:15.720143,0 days 00:00:04.090906,0.3118454093629821,8.885061543466514e-05,0.2827049618455491,1.3675221553388088,0.1312585530926242,5,15,0.9288364578257847,27.0,0.570000740371732,,,,COMPLETE
186,0.5728476204349394,2023-07-10 14:46:25.024106,2023-07-10 14:46:29.079163,0 days 00:00:04.055057,0.7020035694178542,0.009377232459669028,0.0009772492660201021,0.6935652633910832,0.2011190124634083,5,18,0.924171499303079,18.0,0.6306748960767931,0.6062345008408891,0.5754803808629513,0.5755070450462537,COMPLETE
192,0.5728510834680514,2023-07-10 14:46:40.569316,2023-07-10 14:46:44.496928,0 days 00:00:03.927612,0.678170152391285,0.012847780994161548,0.0009070784818174241,0.5798860174623662,0.19864322533930995,5,19,0.914983904253331,18.0,0.5780402876559337,0.5748596034984415,,,COMPLETE
189,0.5730023832591112,2023-07-10 14:46:31.437206,2023-07-10 14:46:35.555450,0 days 00:00:04.118244,0.6768102364119581,0.008097909096457499,0.0008693453452612494,0.5739901570546898,0.20797866429693804,5,18,0.9302346248019118,18.0,0.6053826089851853,0.576822963763477,0.576334675198322,,COMPLETE
164,0.5732457976260114,2023-07-10 14:45:34.367080,2023-07-10 14:45:38.360251,0 days 00:00:03.993171,0.7057315095497898,0.002693148552117807,0.0008102013989691728,0.5214957172329717,0.16244291582084164,5,11,0.9243844960615512,18.0,0.5806942951496401,0.574072515997367,,,COMPLETE
195,0.5734964620368127,2023-07-10 14:46:52.188878,2023-07-10 14:46:56.139665,0 days 00:00:03.950787,0.6673092618067189,0.01343228025643728,0.0009255682945265128,0.6701872640169426,0.20027312291729976,5,20,0.9434702047569056,18.0,0.5753063765661854,,,,COMPLETE
191,0.5736188239496571,2023-07-10 14:46:36.687039,2023-07-10 14:46:40.568816,0 days 00:00:03.881777,0.6815052629597567,0.009405188506910751,0.0009553072566930724,0.5926761331293995,0.2011185511470473,5,19,0.9132508990440924,18.0,0.606701206302373,0.5782150693690193,0.5741791870948936,,COMPLETE
193,0.5738525031958314,2023-07-10 14:46:44.497927,2023-07-10 14:46:48.346133,0 days 00:00:03.848206,0.6788896057147202,0.013055000067860813,0.0008349353818369569,0.5972415001679292,0.20153198210279877,5,19,0.9393577898194349,18.0,0.6056234847185933,0.5769561839933782,0.575521988351297,,COMPLETE
194,0.5739666866534805,2023-07-10 14:46:48.347133,2023-07-10 14:46:52.187878,0 days 00:00:03.840745,0.6679700783233375,0.013466145254971916,0.0008813753938964819,0.5809766462519347,0.1980023227616804,5,19,0.9447618947449685,18.0,0.6068151489142822,0.5770839808971624,0.5750789017350196,,COMPLETE
206,0.5740473596623232,2023-07-10 14:47:08.340379,2023-07-10 14:47:12.152021,0 days 00:00:03.811642,0.7051745855473568,0.013674790724301767,0.0007455896137343071,0.5086682393300921,0.18623567503716268,4,18,0.9378373191973174,18.0,0.575944801757741,,,,COMPLETE
217,0.5742073660888188,2023-07-10 14:47:23.523935,2023-07-10 14:47:27.510300,0 days 00:00:03.986365,0.6650631629169964,0.015937561020446977,0.0004671790820870291,0.5481197525509864,0.1820576632480519,6,19,0.8932667166229521,18.0,0.6078341396843859,0.5769902534631615,0.5754999271098453,,COMPLETE
121,0.5742084867005767,2023-07-10 14:44:31.845453,2023-07-10 14:44:35.898353,0 days 00:00:04.052900,0.6583099950275385,0.002694988086928635,0.00024301154605811966,0.3495188115800147,0.16352998803369154,5,12,0.6643023956961887,21.0,0.6149657813199243,0.5812832223391046,0.5747440481696554,,COMPLETE
230,0.574246281764711,2023-07-10 14:47:44.724076,2023-07-10 14:47:48.755551,0 days 00:00:04.031475,0.6416974495485204,0.012355219094594565,0.0010356883359622221,0.6921807921079607,0.21673132161550254,5,19,0.9392903716717568,18.0,0.6034552213364109,0.5761828349376675,0.5759129606528982,,COMPLETE
297,0.5742492364080016,2023-07-10 14:49:31.393203,2023-07-10 14:49:35.437146,0 days 00:00:04.043943,0.6442362094991719,0.008791185106339805,0.0007848361461507793,0.5440886926325812,0.23461659208217317,5,18,0.917675148517939,15.0,0.6243110842285583,0.6000420740210983,0.5758069007927803,0.5754356066559104,COMPLETE
55,0.5743027797993417,2023-07-10 14:43:06.027167,2023-07-10 14:43:10.272783,0 days 00:00:04.245616,0.6845281514395662,0.010689345897304138,0.0001394999803956449,0.001709982850638437,0.15870809285645254,5,10,0.6641137532141479,18.0,0.6162759850477759,0.5821773437058694,0.5747073502711454,,COMPLETE
296,0.5743111355415663,2023-07-10 14:49:27.319861,2023-07-10 14:49:31.391704,0 days 00:00:04.071843,0.5996214178211858,0.011902240160419299,0.0017423242084876427,0.6016083170866906,0.20272021918706215,5,17,0.9600777119785969,18.0,0.5771757255614508,0.5735971607576136,,,COMPLETE
181,0.5743169677318555,2023-07-10 14:46:10.881982,2023-07-10 14:46:14.983484,0 days 00:00:04.101502,0.6924098294153878,0.00699297054696358,0.0009913279112101238,0.7086104017072565,0.20007933461813854,6,20,0.9249185327654796,18.0,0.6293146050558411,0.604003886599132,0.5755089924493934,0.5772403687998886,COMPLETE
183,0.5745715804922601,2023-07-10 14:46:18.773309,2023-07-10 14:46:22.602656,0 days 00:00:03.829347,0.6870645560509785,0.01261225745406848,0.0006861967610311238,0.4826709616524003,0.19715533555793036,6,20,0.9236170353334109,18.0,0.6300771914574851,0.6047753605702959,0.5760470721015618,0.5766574092487855,COMPLETE
